"id","chapter","complete_name","name","question","sequence"
"sga_hola_calidad_clause_123_cff6204e","Contexto de la organización","Comprensión de la organización y de su contexto","4.1","¿Ha realizado un análisis de las cuestiones internas y externas que pueden afectar su gestión ambiental?","10"
"sga_hola_calidad_clause_124_af2443a4","Contexto de la organización","Comprensión de las necesidades y expectativas de las partes interesadas","4.2","¿Tiene identificadas sus partes interesadas y sus principales necesidades o requisitos ambientales?","20"
"sga_hola_calidad_clause_125_02395ff7","Contexto de la organización","Determinación del alcance del sistema de gestión ambiental","4.3","¿Su sistema de gestión ambiental tiene un alcance definido?","30"
"sga_hola_calidad_clause_126_08af1a91","Contexto de la organización","Sistema de gestión ambiental","4.4","¿Cuenta actualmente con un sistema, procesos o procedimientos para gestionar sus aspectos ambientales?","40"

"sga_hola_calidad_clause_127_ec3d1e8d","Liderazgo","Liderazgo y compromiso","5.1","¿La alta dirección participa y brinda apoyo a la gestión ambiental de la organización?","50"
"sga_hola_calidad_clause_128_a3b36694","Liderazgo","Política ambiental","5.2","¿Cuenta con una política ambiental definida y comunicada?","60"
"sga_hola_calidad_clause_129_2f5abd1d","Liderazgo","Roles, responsabilidades y autoridades en la organización","5.3","¿Tiene definidas y comunicadas las responsabilidades y autoridades relacionadas con la gestión ambiental?","60"

"sga_hola_calidad_clause_145_a1b2c3d4","Planificación","Aspectos ambientales","6.1","¿La organización ha identificado y evaluado sus aspectos e impactos ambientales, requisitos legales y otros compromisos ambientales, así como los riesgos y oportunidades relacionados con su gestión ambiental, y ha definido acciones para su control y tratamiento?","70"
"sga_hola_calidad_clause_149_e5f6a7b8","Planificación","Objetivos ambientales","6.2","¿La organización cuenta con objetivos ambientales definidos y con planes o acciones para alcanzarlos y realizar su seguimiento?","80"
"sga_hola_calidad_clause_151_a7b8c9d0","Planificación","Planificación de los cambios","6.3","¿Cuenta con algún mecanismo para planificar y controlar cambios que puedan afectar su gestión ambiental?","90"

"sga_hola_calidad_clause_132_57550522","Apoyo","Recursos","7.1","¿Cuenta con los recursos necesarios para desarrollar y mantener su gestión ambiental?","100"
"sga_hola_calidad_clause_133_0fdb0e5a","Apoyo","Competencia","7.2","¿Tiene definidos los requisitos de competencia para el personal cuyas actividades pueden afectar el desempeño ambiental?","110"
"sga_hola_calidad_clause_134_73f5f9d2","Apoyo","Toma de conciencia","7.3","¿Realiza capacitaciones, inducciones o actividades de sensibilización en materia ambiental?","120"
"sga_hola_calidad_clause_135_86cd5226","Apoyo","Comunicación","7.4","¿Cuenta con mecanismos definidos para realizar comunicaciones internas y externas relacionadas con temas ambientales?","130"
"sga_hola_calidad_clause_152_b8c9d0e1","Apoyo","Generalidades de la información documentada","7.5","¿La organización cuenta con información documentada para gestionar su sistema ambiental, con criterios definidos para su elaboración, actualización, revisión y aprobación, y mecanismos para controlar sus documentos y registros ambientales?","140"

"sga_hola_calidad_clause_137_9dfe8373","Operación","Planificación y control operacional","8.1","¿Tiene definidos controles o procedimientos para gestionar los aspectos ambientales asociados a sus operaciones, compras, proveedores o servicios?","150"
"sga_hola_calidad_clause_138_18b81015","Operación","Preparación y respuesta ante emergencias","8.2","¿Tiene identificadas posibles emergencias ambientales y cuenta con medidas o planes para responder ante ellas?","160"

"sga_hola_calidad_clause_155_e1f2a3b4","Evaluación del desempeño","Generalidades del seguimiento, medición, análisis y evaluación","9.1","¿La organización realiza el seguimiento y medición de su desempeño ambiental mediante indicadores, controles o registros, y evalúa periódicamente el cumplimiento de sus requisitos legales y otros compromisos ambientales?","170"
"sga_hola_calidad_clause_140_ed19016b","Evaluación del desempeño","Auditoría interna","9.2","¿Realiza auditorías internas de su sistema de gestión ambiental?","180"
"sga_hola_calidad_clause_141_e35738b1","Evaluación del desempeño","Revisión por la dirección","9.3","¿La alta dirección realiza revisiones periódicas del desempeño del sistema de gestión ambiental?","190"

"sga_hola_calidad_clause_142_af1f3836","Mejora","Generalidades","10.1","¿Identifica e implementa oportunidades de mejora relacionadas con su desempeño o sistema de gestión ambiental?","200"
"sga_hola_calidad_clause_143_87db943c","Mejora","No conformidad y acción correctiva","10.2","¿Gestiona las no conformidades ambientales y establece acciones correctivas cuando corresponde?","210"
